FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 4 6
ORDERS 6 10

# E <id> <alpha> <beta> <mu> <p>
T 2  45 44 210  23  8
T 2  -135 44 30  31  8
T 2  10 1 7  24  8
T 3  -29 286 21  50  9
T 3  24 143 55  62  9
T 3  -53 33 1  51  9
T 3  13 22 10  64  9
T 3  -45 286 210  52  9
T 3  135 286 30  66  9
T 3  -40 33 7  53  9
T 4  -21 4199 1155  96  10
T 4  -21 8398 10010  114  10
T 4  29 2717 21  98  10
T 4  -48 2717 55  116  10
T 4  53 561 1  99  10
T 4  -13 374 10  118  10
T 4  1 143 210  100  10
T 4  -3 143 30  120  10
T 4  20 429 7  101  10
ROW -1 -1 30
T 0  105 16 210  2  6
T 0  105 32 70  0  6
T 1  -15 8 210  9  7
T 1  45 16 42  5  7
T 1  -15 2 210  10  7
T 1  -15 4 70  6  7
T 2  5 22 210  25  8
T 2  -265 44 1  19  8
T 2  45 44 210  26  8
T 2  -135 88 42  20  8
T 2  5 2 210  27  8
T 2  5 4 70  21  8
