FORMAT 1
KERNEL S
SOURCE (s|S|s)
SHELLS 5 6

# E <id> <alpha> <beta> <mu> <p>
T 4  -42 4199 429  142
T 4  49 2431 33  144
T 4  1260 46189 30  146
T 4  58 663 1  147
T 4  -14 429 7  148
ROW -3 1 25
T 0  315 4 2  149
T 1  -55 8 42  112
T 1  -5 4 14  150
T 1  -70 1 2  151
T 2  135 572 770  114
T 2  -315 286 35  152
T 2  165 52 42  115
T 2  15 26 14  153
T 2  210 11 2  154
T 3  -21 9724 6006  117
T 3  1113 4862 33  156
T 3  -135 2431 770  119
T 3  630 2431 35  157
T 3  -11 26 42  120
T 3  -1 13 14  158
T 3  -280 143 2  159
T 4  -9 8398 30030  122
T 4  27 4199 286  161
T 4  1 4862 6006  124
T 4  -53 2431 33  163
T 4  135 46189 770  126
T 4  -630 46189 35  164
T 4  11 663 42  127
T 4  2 663 14  165
T 4  28 429 2  166
ROW -3 2 31
T 0  -2205 32 2  167
T 0  945 16 3  168
T 1  -25 4 42  102
T 1  55 4 5  169
T 1  245 4 2  170
T 1  -135 4 3  171
T 2  45 572 77  103
T 2  105 286 21  172
T 2  75 26 42  104
T 2  -165 26 5  173
T 2  -735 44 2  174
T 2  15 2 3  175
T 3  105 4862 858  105
T 3  -1869 4862 15  177
T 3  -45 2431 77  106
T 3  -210 2431 21  178
T 3  -5 13 42  107
T 3  11 13 5  179
T 3  245 143 2  180
T 3  -15 22 3  181
T 4  -45 4199 429  108
T 4  -135 8398 22  183
T 4  -5 2431 858  109
T 4  89 2431 15  185
T 4  45 46189 77  110
T 4  210 46189 21  186
T 4  10 663 42  111
T 4  -22 663 5  187
T 4  -49 858 2  188
T 4  3 143 3  189
T 5  -945 32 3  190
ROW -3 3 6
T 2  -45 286 2002  113
T 3  84 2431 1430  116
T 3  90 2431 2002  118
T 4  -15 4199 4862  121
T 4  -8 2431 1430  123
T 4  -90 46189 2002  125
ROW -3 4 27
T 0  315 16 15  167
T 0  2835 32 10  168
T 1  65 8 6  169
T 1  -35 2 15  170
T 1  -405 8 10  171
T 2  -105 572 4290  131
T 2  -45 44 70  172
T 2  -15 4 6  173
T 2  105 22 15  174
T 2  45 4 10  175
T 3  609 4862 143  135
T 3  -7707 9724 2  177
T 3  105 2431 4290  137
T 3  45 187 70  178
T 3  1 2 6  179
T 3  -70 143 15  180
