FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 6 5
ORDERS 6 11

# E <id> <alpha> <beta> <mu> <p>
T 4  63 4862 12155  104  10
T 4  -945 9724 10  113  10
T 4  1050 2431 14  114  10
T 4  -15 26 30  115  10
T 4  210 143 3  116  10
T 4  -15 44 2  117  10
T 5  3 4199 92378  174  11
T 5  -3 4199 33  188  11
T 5  -3 2431 12155  176  11
T 5  45 4862 10  189  11
T 5  -1050 46189 14  190  11
T 5  5 221 30  191  11
T 5  -7 143 3  192  11
T 5  3 286 2  193  11
ROW -3 -5 18
T 1  -945 16 1  5  7
T 2  -75 4 7  16  8
T 2  105 2 1  17  8
T 3  -315 286 70  38  9
T 3  225 26 7  39  9
T 3  -315 22 1  40  9
T 4  -315 4862 66  75  10
T 4  -105 4862 7293  85  10
T 4  630 2431 70  76  10
T 4  -15 13 7  77  10
T 4  210 143 1  78  10
T 5  -3 4199 143  132  11
T 5  -3 4199 46189  146  11
T 5  15 2431 66  134  11
T 5  5 2431 7293  148  11
T 5  -630 46189 70  135  11
T 5  10 221 7  136  11
T 5  -7 143 1  137  11
ROW -3 -4 27
T 0  945 64 6  0  6
T 1  945 8 1  3  7
T 1  -945 32 6  4  7
T 2  15 8 10  13  8
T 2  -105 1 1  14  8
T 2  135 8 6  15  8
T 3  -210 143 42  34  9
T 3  315 572 286  47  9
T 3  -45 52 10  35  9
T 3  315 11 1  36  9
T 3  -15 4 6  37  9
T 4  -1827 9724 30  70  10
T 4  21 4862 2145  89  10
T 4  840 2431 42  71  10
T 4  -315 2431 286  91  10
T 4  3 26 10  72  10
T 4  -420 143 1  73  10
T 4  15 44 6  74  10
T 5  -30 4199 11  125  11
T 5  -6 4199 24310  152  11
T 5  87 4862 30  127  11
T 5  -1 2431 2145  154  11
T 5  -840 46189 42  128  11
T 5  315 46189 286  156  11
T 5  -1 221 10  129  11
T 5  14 143 1  130  11
T 5  -3 286 6  131  11
ROW -3 -3 27
T 0  -2835 32 3  2  6
T 1  -315 16 3  11  7
T 1  2835 16 3  12  7
T 2  125 4 3  31  8
T 2  35 2 3  32  8
T 2  -405 4 3  33  8
T 3  -945 286 3  65  9
T 3  -45 286 2002  69  9
T 3  -375 26 3  66  9
T 3  -105 22 3  67  9
T 3  45 2 3  68  9
T 4  -5565 4862 3  118  10
T 4  84 2431 1430  123  10
T 4  1890 2431 3  119  10
T 4  90 2431 2002  124  10
T 4  25 13 3  120  10
T 4  70 143 3  121  10
T 4  -45 22 3  122  10
T 5  -165 4199 3  194  11
T 5  -15 4199 4862  200  11
T 5  265 2431 3  195  11
T 5  -8 2431 1430  201  11
T 5  -1890 46189 3  196  11
T 5  -90 46189 2002  202  11
T 5  -50 663 3  197  11
T 5  -7 429 3  198  11
T 5  9 143 3  199  11
ROW -3 -2 31
T 0  -2835 32 2  0  6
T 1  945 16 3  3  7
T 1  2835 16 2  4  7
T 2  -15 4 30  13  8
